# p0, p1, p2, p3, p4, resistivity (kohm.cm)
    2.0981,   25.6885,    0.9371,    7.6234,    4.2436,    9.7666
    2.2529,   18.4231,    0.9404,    7.7728,    4.4049,   23.0747
    2.4556,   22.8583,    0.9022,    7.3489,    3.9793,   13.0051
    2.4183,   19.7753,    0.9295,    7.9458,    4.1298,   18.9722
    2.0662,   21.4281,    0.9510,    8.1314,    3.8700,   15.3383
    2.4658,   21.9378,    0.9029,    7.5451,    3.7897,   14.4360
    2.1996,   21.4811,    0.9174,    7.9926,    4.0906,   15.2403
    2.3364,   15.0163,    0.9221,    7.6351,    4.4467,   42.9647
    2.3871,   19.1278,    0.8810,    7.6235,    4.2810,   20.7792
    2.3828,   26.6010,    0.9102,    7.5721,    4.4228,    8.9882
    2.3952,   20.1968,    0.9356,    8.2111,    4.2534,   17.9254
    2.3335,   22.8362,    0.8924,    7.7034,    4.6327,   13.0369
    2.1710,   21.3768,    0.9554,    7.4753,    3.7685,   15.4340
    2.1095,   25.8868,    0.9176,    7.4472,    4.1978,    9.5886
    2.0755,   27.4986,    0.9414,    7.3601,    4.0725,    8.3138
    2.3451,   20.7741,    0.8884,    7.7651,    4.5550,   16.6331
    2.4457,   18.7155,    0.9326,    7.9183,    4.2084,   22.0759
    2.0912,   20.7524,    0.9302,    7.8232,    3.9894,   16.6789
    2.2037,   22.3875,    0.9578,    7.5641,    4.8668,   13.7075
    2.3229,   25.7460,    0.9580,    7.4495,    4.3573,    9.7145
    2.2689,   25.8907,    0.8930,    7.8181,    4.4011,    9.5852
    2.4008,   13.8061,    0.9442,    7.4941,    4.6972,   57.3326
    2.4371,   21.0549,    0.9304,    8.1422,    4.6859,   16.0568
    2.3508,   27.0069,    0.9185,    7.4084,    4.3160,    8.6729
    2.0731,   26.4376,    0.9567,    7.8687,    4.4632,    9.1202
    2.3476,   25.0676,    0.9419,    7.5912,    4.6755,   10.3591
    2.2224,   16.1004,    0.9233,    7.9037,    4.3647,   34.3761
    2.2048,   21.9365,    0.9091,    7.6135,    4.4667,   14.4382
    2.3941,   19.6232,    0.8766,    7.7554,    4.2514,   19.3739
    2.2804,   14.6983,    0.9446,    7.6499,    4.1187,   46.1384
    2.1164,   27.1924,    0.9141,    7.4082,    4.4209,    8.5346
    2.3341,   19.3556,    0.9319,    7.5132,    3.8773,   20.1137
    2.4718,   25.7444,    0.8491,    7.3647,    4.8447,    9.7159
    2.3689,   17.8764,    0.9430,    7.5881,    4.0314,   25.1447
    2.0942,   25.8567,    0.9381,    7.7906,    3.8781,    9.6154
    2.4487,   24.0569,    0.8901,    7.8533,    4.6966,   11.4528
    2.1019,   25.3325,    0.9295,    7.8568,    4.0602,   10.0996
    2.4254,   20.8892,    0.9593,    8.0283,    4.6811,   16.3929
    2.3333,   18.9822,    0.9489,    7.8772,    3.5771,   21.2233
    2.3318,   26.1000,    0.8790,    7.5137,    4.2558,    9.4029
    2.4042,   25.8183,    0.9434,    7.9155,    4.7747,    9.6495
    2.4011,   17.9037,    0.9470,    7.6506,    4.3678,   25.0345
    2.1044,   26.6295,    0.9240,    8.0111,    3.9676,    8.9654
    2.3250,   20.9513,    0.9417,    8.8218,    4.5891,   16.2656
    2.4185,   20.3579,    0.9122,    7.8532,    4.0604,   17.5494
    2.1262,   24.5032,    0.8909,    7.3567,    4.2208,   10.9484
    2.3391,   22.4730,    0.9183,    8.6719,    4.4417,   13.5756
    2.2674,   25.5945,    0.9255,    7.3674,    4.6888,    9.8529
    2.2301,   27.2912,    0.9389,    7.8007,    4.3500,    8.4623
    2.2967,   19.5071,    0.9152,    7.8360,    4.2262,   19.6894
    2.2954,   21.1217,    0.9085,    7.5714,    4.7542,   15.9243
    2.2367,   20.6080,    0.9507,    8.8149,    4.2581,   16.9893
    2.3405,   25.8366,    0.8570,    7.3695,    4.2405,    9.6333
    2.3328,   13.3645,    0.9560,    7.6727,    4.4177,   64.5453
    2.3516,   20.2028,    0.9164,    7.3662,    4.1029,   17.9111
    2.4662,   20.0276,    0.8720,    7.4666,    4.3409,   18.3343
    2.3345,   25.2781,    0.8958,    7.7360,    4.3339,   10.1520
    2.4562,   24.2102,    0.9554,    7.6826,    4.7433,   11.2755
    2.0868,   26.9946,    0.9016,    7.4509,    3.9483,    8.6821
    2.4099,   19.1165,    0.8881,    7.4642,    3.9385,   20.8133
    2.2292,   22.7346,    0.9200,    7.7778,    4.5362,   13.1841
    2.3413,   20.5266,    0.9519,    8.1656,    3.7712,   17.1685
    2.4124,   25.4259,    0.9148,    7.8804,    4.2456,   10.0105
    2.1906,   24.3121,    0.9260,    7.3824,    4.3923,   11.1601
    2.3656,   19.9739,    0.8783,    7.3511,    4.2797,   18.4672
    2.3238,   24.6392,    0.9251,    7.9831,    4.1265,   10.8017
    2.2346,   25.0982,    0.9492,    7.5073,    4.1479,   10.3286
    2.0093,   27.7138,    0.9544,    7.6935,    4.0524,    8.1639
    2.4079,   21.8383,    0.9256,    7.7252,    3.7630,   14.6054
    2.1728,   21.2015,    0.9318,    7.5758,    4.0011,   15.7683
    2.4921,   19.1807,    0.8944,    7.4529,    4.1969,   20.6218
    2.2513,   19.6439,    0.8920,    7.3757,    4.0657,   19.3184
    2.3181,   20.3562,    0.9237,    7.9733,    3.7863,   17.5531
    2.4075,   19.2822,    0.9442,    7.9841,    4.0962,   20.3245
    2.1505,   24.5453,    0.9293,    7.6508,    3.9697,   10.9027
    2.4798,   14.3982,    0.9571,    7.6690,    4.0738,   49.4868
    2.4121,   21.5678,    0.9141,    7.8655,    4.6776,   15.0822
    2.1549,   25.6720,    0.9440,    7.9240,    4.0915,    9.7817
    2.2838,   20.7508,    0.9082,    7.3562,    4.9464,   16.6824
    2.3684,   19.5379,    0.9563,    8.1037,    3.9130,   19.6049
    2.2659,   20.4786,    0.9516,    8.4258,    4.0674,   17.2754
    2.4364,   13.4234,    0.9329,    7.4401,    4.4042,   63.5032
    2.2130,   25.0389,    0.9437,    7.5348,    4.1853,   10.3878
    2.2841,   21.2522,    0.9501,    8.4897,    4.2806,   15.6704
    2.2215,   23.6288,    0.9379,    7.4851,    4.8408,   11.9721
    2.3878,   25.0683,    0.9059,    7.4504,    3.9034,   10.3585
    2.2973,   20.3699,    0.9565,    8.0095,    3.7664,   17.5217
    2.1922,   21.6854,    0.9552,    7.9077,    3.7090,   14.8720
    2.4338,   19.5915,    0.8960,    7.8089,    4.5330,   19.4592
    2.1919,   26.9154,    0.9432,    7.6311,    4.1482,    8.7424
    2.3571,   26.1508,    0.9209,    7.5367,    3.8850,    9.3595
    2.1461,   26.4222,    0.9466,    7.6025,    4.1397,    9.1328
    2.3615,   14.2228,    0.9409,    8.3733,    4.5453,   51.6254
    2.4008,   23.8117,    0.8677,    7.5042,    4.6044,   11.7458
    2.2409,   22.8989,    0.9523,    9.1366,    4.5278,   12.9473
    2.3209,   27.3950,    0.9396,    8.5965,    4.3343,    8.3874
    2.3768,   21.3069,    0.9078,    7.5208,    4.8121,   15.5660
    2.4110,   18.4629,    0.8757,    7.4296,    4.3289,   22.9347
    2.2740,   20.5667,    0.9139,    8.0083,    3.9529,   17.0798
    2.4917,   19.6301,    0.9272,    7.6731,    4.2426,   19.3553
    2.2576,   25.5394,    0.9558,    7.9467,    4.4321,    9.9039
    2.2852,   20.6033,    0.9457,    7.4147,    4.9028,   16.9997
    2.2850,   20.5975,    0.9316,    7.5158,    4.1745,   17.0123
    2.4334,   20.7429,    0.9409,    7.6684,    3.9978,   16.6990
    2.4994,   19.4889,    0.9032,    7.5249,    4.7851,   19.7398
    2.1646,   26.2338,    0.9180,    7.8450,    4.1091,    9.2893
    2.0758,   25.7735,    0.9528,    7.4684,    4.4258,    9.6897
    2.2442,   21.9877,    0.9182,    7.4183,    3.6116,   14.3523
    2.2894,   22.8717,    0.9371,    8.2802,    4.1792,   12.9860
    2.2198,   15.4941,    0.9492,    7.8743,    4.5098,   38.8047
    2.3297,   20.6192,    0.9185,    7.4292,    4.8073,   16.9651
    2.4963,   21.1561,    0.9224,    7.6821,    4.7446,   15.8568
    2.2722,   16.4017,    0.9506,    7.7712,    4.8819,   32.4654
    2.4386,   14.5598,    0.9486,    7.5913,    3.7907,   47.6379
    2.1957,   18.2111,    0.9525,    7.8827,    3.7024,   23.8445
    2.2956,   23.6458,    0.9460,    9.1306,    4.3536,   11.9507
    2.4671,   19.3447,    0.9143,    7.6404,    4.2979,   20.1448
    2.2179,   21.2234,    0.9542,    7.7857,    3.9570,   15.7259
    2.3754,   20.2171,    0.9065,    7.5766,    3.9367,   17.8774
    2.4977,   20.7522,    0.9389,    7.6097,    4.7464,   16.6794
    2.3749,   18.9160,    0.9064,    7.5171,    4.2653,   21.4300
    2.4989,   22.1076,    0.9561,    7.5533,    4.4663,   14.1540
    2.4814,   25.1298,    0.8685,    7.4311,    4.8495,   10.2973
    2.4069,   14.0476,    0.8879,    7.4541,    4.6341,   53.9099
    2.2811,   16.2824,    0.9335,    7.8480,    4.0677,   33.2017
    2.2358,   23.2034,    0.9249,    7.5269,    3.6272,   12.5257
    2.3553,   21.3967,    0.9222,    8.1096,    3.8012,   15.3967
    2.2293,   21.0395,    0.9198,    8.0779,    4.1193,   16.0876
    2.1599,   27.1313,    0.9462,    7.7723,    4.3403,    8.5797
    2.2494,   21.0503,    0.9100,    7.6836,    3.7401,   16.0659
    2.3370,   19.5414,    0.9005,    7.4733,    4.2159,   19.5953
    2.2746,   25.9538,    0.9404,    7.3761,    4.2870,    9.5296
    2.4204,   13.7391,    0.9434,    7.8857,    4.4772,   58.3429
    2.3665,   17.6228,    0.9126,    7.7595,    4.4715,   26.2060
    2.3610,   14.0683,    0.9127,    7.5406,    4.2559,   53.6318
    2.4076,   13.1950,    0.9414,    7.7474,    4.5515,   67.7020
    2.3875,   21.3459,    0.9084,    7.3598,    4.6180,   15.4921
    2.4004,   14.5794,    0.9027,    7.5190,    4.8110,   47.4213
    2.2647,   26.6010,    0.9392,    8.4269,    4.1260,    8.9881
    2.0725,   25.2451,    0.9424,    7.6924,    4.4301,   10.1840
    2.4366,   25.5066,    0.8917,    7.4235,    4.0792,    9.9346
    2.4643,   21.9146,    0.9475,    7.5593,    4.8846,   14.4752
    2.0732,   25.8650,    0.9163,    7.5633,    4.2888,    9.6079
    2.4190,   13.7860,    0.9312,    7.4653,    4.2683,   57.6323
    2.3029,   23.9156,    0.9320,    8.9253,    4.4056,   11.6202
    2.2617,   18.8617,    0.9403,    7.7739,    4.1076,   21.6019
    2.2607,   21.0943,    0.9439,    7.5614,    3.6116,   15.9784
    2.4841,   26.6392,    0.9083,    7.7489,    4.7181,    8.9577
    2.0457,   24.0106,    0.9410,    7.6340,    3.7054,   11.5072
    2.2822,   21.1525,    0.9581,    8.6118,    4.6290,   15.8637
    2.2968,   25.1447,    0.9471,    7.8481,    4.2258,   10.2825
    2.3766,   20.1408,    0.9320,    7.4407,    4.0998,   18.0593
    2.3731,   15.6012,    0.9376,    7.5401,    4.3706,   37.9587
    2.4403,   18.7057,    0.9184,    7.8424,    4.0308,   22.1084
    2.3396,   24.7107,    0.9238,    7.5803,    4.2691,   10.7258
    2.4908,   20.4654,    0.8985,    7.5343,    4.1901,   17.3050
    2.4971,   20.2259,    0.9232,    7.4050,    4.0198,   17.8565
    2.2747,   16.0574,    0.9337,    7.8020,    4.2258,   34.6632
    2.2815,   24.7453,    0.8793,    7.6388,    4.5659,   10.6893
    2.4646,   18.6484,    0.9468,    7.5051,    4.2755,   22.2992
    2.3084,   20.5406,    0.9046,    7.5484,    3.9588,   17.1376
    2.4467,   22.9288,    0.9205,    7.7373,    3.8625,   12.9049
    2.0656,   23.2090,    0.9450,    7.6414,    4.7015,   12.5181
    2.2119,   22.2068,    0.9237,    7.6144,    4.1976,   13.9932
    2.4201,   23.0061,    0.9109,    7.5860,    3.6462,   12.7964
    2.4602,   19.3724,    0.9015,    7.4159,    4.1113,   20.0659
    2.3857,   19.2306,    0.9019,    7.6927,    4.3273,   20.4749
    2.3865,   21.2176,    0.9334,    8.4837,    4.6054,   15.7372
    2.4014,   25.4056,    0.9597,    7.3503,    4.5490,   10.0298
    2.3058,   20.8174,    0.9503,    7.7141,    4.6946,   16.5420
    2.2034,   26.4213,    0.9289,    7.5837,    4.1601,    9.1335
    2.0483,   24.6855,    0.9533,    7.9914,    4.1842,   10.7524
    2.4950,   18.1362,    0.9327,    7.7727,    4.1348,   24.1261
    2.3026,   19.4103,    0.9375,    7.6511,    3.5885,   19.9589
    2.4454,   17.5302,    0.9374,    7.4215,    3.9196,   26.6109
    2.1991,   19.2286,    0.9282,    7.7192,    4.0123,   20.4806
    2.4920,   20.7122,    0.8912,    8.2760,    4.7564,   16.7644
    2.4750,   22.1965,    0.9433,    7.6436,    4.8712,   14.0096
    2.0528,   26.5463,    0.9494,    7.8885,    4.2941,    9.0320
    2.0356,   21.7016,    0.9477,    8.0866,    3.7939,   14.8435
    2.1539,   23.4314,    0.8934,    7.4668,    4.3739,   12.2240
    2.4705,   18.8282,    0.8959,    7.6423,    4.2896,   21.7091
    2.3127,   22.1372,    0.9411,    7.6566,    3.7016,   14.1056
    2.2474,   20.1484,    0.9542,    7.8298,    3.6630,   18.0409
    2.0900,   25.6366,    0.9056,    7.4420,    4.1747,    9.8141
    2.1738,   15.8886,    0.9476,    7.5508,    4.7199,   35.8285
    2.1540,   24.7661,    0.9075,    7.6148,    4.3709,   10.6676
    2.2415,   21.1559,    0.9152,    7.9794,    3.8044,   15.8571
    2.4192,   13.7926,    0.9006,    7.3957,    4.6271,   57.5336
    2.1889,   24.2442,    0.9287,    7.4935,    4.3789,   11.2368
    2.3084,   15.3453,    0.8965,    7.4066,    4.4502,   40.0290
    2.1600,   25.1534,    0.9043,    7.6057,    4.3531,   10.2739
    2.2707,   20.5620,    0.9062,    8.0919,    4.1563,   17.0902
    2.3740,   19.8199,    0.9337,    7.4942,    3.8669,   18.8571
    2.4805,   18.2980,    0.9596,    8.1663,    4.4224,   23.5242
    2.2855,   24.3039,    0.9361,    7.3722,    4.2993,   11.1693
    2.1857,   24.7517,    0.9313,    7.6358,    4.3639,   10.6827
    2.3003,   20.3464,    0.8903,    7.5993,    4.0413,   17.5757
    2.3392,   27.7793,    0.8982,    7.3863,    4.4045,    8.1191
    2.3384,   17.1272,    0.9183,    7.3515,    3.6800,   28.4955
    2.2455,   20.7849,    0.9161,    7.9896,    3.7648,   16.6103
    2.1951,   24.7903,    0.9387,    8.2425,    4.0281,   10.6422
    2.2560,   19.6991,    0.9548,    8.3357,    3.7539,   19.1717
    2.4053,   20.2976,    0.9468,    7.6456,    4.0142,   17.6886
    2.3502,   23.0014,    0.9064,    8.6489,    4.3344,   12.8028
    2.2694,   14.2813,    0.9293,    7.3699,    3.9507,   50.8961
    2.4686,   19.2383,    0.8820,    7.3496,    4.1177,   20.4522
    2.1655,   25.6233,    0.9476,    7.4275,    4.4130,    9.8263
    2.2711,   21.0479,    0.9505,    8.7859,    4.2404,   16.0708
    2.4327,   19.8654,    0.9174,    8.0356,    4.1731,   18.7404
    2.4815,   13.4294,    0.9589,    7.3930,    4.4412,   63.3988
    2.2601,   21.3329,    0.9423,    8.0781,    3.8244,   15.5166
    2.3202,   16.0842,    0.9585,    7.4431,    4.5044,   34.4840
    2.1636,   19.4848,    0.9362,    7.6421,    4.0985,   19.7511
    2.3635,   20.9748,    0.8614,    7.5257,    4.2202,   16.2178
    2.1318,   26.1813,    0.9355,    7.6076,    3.9661,    9.3336
    2.4818,   19.3443,    0.9140,    8.0663,    4.3136,   20.1459
    2.4995,   18.8738,    0.9151,    7.4729,    4.1580,   21.5636
    2.4510,   20.2067,    0.9449,    7.4075,    4.2006,   17.9019
    2.2699,   15.8237,    0.9512,    7.8050,    4.7276,   36.2925
    2.2593,   26.3141,    0.9209,    7.7653,    4.4452,    9.2221
    2.2358,   25.7436,    0.9416,    7.3630,    4.3875,    9.7166
    2.3361,   22.4755,    0.9472,    7.4230,    4.7893,   13.5718
    2.2988,   14.6136,    0.8979,    7.4018,    4.3071,   47.0460
    2.2763,   25.5726,    0.9259,    7.5934,    3.9016,    9.8731
    2.3779,   23.3487,    0.9359,    8.3980,    4.6727,   12.3321
    2.2340,   19.1305,    0.9288,    7.6267,    4.1432,   20.7712
    2.3698,   20.1549,    0.9485,    7.9110,    3.9964,   18.0255
    2.1067,   25.6975,    0.9583,    7.7827,    4.1811,    9.7585
    2.2748,   19.0865,    0.9513,    7.6242,    4.1002,   20.9039
    2.2989,   19.9270,    0.9218,    7.7224,    3.6936,   18.5846
    2.2143,   26.4933,    0.9544,    7.6990,    4.1464,    9.0749
    2.3787,   23.7078,    0.8969,    7.6895,    4.8808,   11.8734
    2.3390,   21.0706,    0.9468,    7.5863,    4.8723,   16.0256
    2.1763,   18.8108,    0.9552,    7.4730,    4.1234,   21.7651
    2.1867,   24.1407,    0.9009,    7.8403,    4.1850,   11.3553
    2.2487,   27.5328,    0.9529,    7.8345,    4.3300,    8.2897
    2.4262,   19.3160,    0.9572,    7.4278,    4.0603,   20.2269
    2.4162,   21.2489,    0.9233,    8.6976,    4.7099,   15.6768
    2.3284,   18.9984,    0.9134,    8.2138,    4.1266,   21.1732
    2.2811,   21.6210,    0.9239,    8.1046,    4.0055,   14.9867
    2.2436,   20.6352,    0.9231,    7.6688,    4.0610,   16.9302
    2.2995,   19.4667,    0.9517,    7.4806,    4.1813,   19.8012
    2.2238,   19.9568,    0.9297,    7.8367,    3.6032,   18.5100
    2.4110,   23.2648,    0.9054,    8.0716,    4.7616,   12.4433
    2.4038,   23.4609,    0.9511,    7.3999,    3.9019,   12.1859
    2.3492,   25.2722,    0.9226,    7.9538,    4.2566,   10.1578
    2.4528,   19.8887,    0.9101,    7.3849,    4.2936,   18.6813
    2.2006,   22.6383,    0.9518,    8.8801,    4.3957,   13.3261
    2.2832,   18.4319,    0.9324,    7.4620,    4.2071,   23.0437
    2.3415,   23.9052,    0.9260,    7.8043,    4.8709,   11.6327
    2.3433,   19.4001,    0.9555,    7.8351,    3.8541,   19.9876
    2.3970,   19.0410,    0.9209,    7.7888,    3.8670,   21.0422
    2.3592,   19.9442,    0.9119,    7.7741,    4.8599,   18.5415
    2.4121,   19.9406,    0.9397,    7.4516,    4.2719,   18.5504
    2.3528,   14.2100,    0.9534,    7.5725,    4.2159,   51.7869
    2.1581,   21.5498,    0.9297,    8.2152,    4.0088,   15.1150
    2.4118,   17.3920,    0.9589,    7.5824,    3.9670,   27.2345
    2.2656,   24.7436,    0.9592,    7.4047,    4.4360,   10.6911
    2.2474,   27.0437,    0.9370,    8.0189,    4.4606,    8.6452
    2.3121,   18.9033,    0.9560,    7.5073,    4.0913,   21.4699
    2.2473,   24.7801,    0.9346,    7.7712,    4.3865,   10.6529
    2.1511,   26.2608,    0.9071,    7.5249,    3.8070,    9.2666
    2.0695,   14.7509,    0.9359,    7.4876,    3.9706,   45.5888
    2.4487,   19.1521,    0.9092,    7.7108,    4.0959,   20.7066
    2.3374,   21.6270,    0.8864,    7.4962,    4.7115,   14.9759
    2.1878,   23.6697,    0.9404,    8.0301,    4.1073,   11.9208
    2.3716,   21.5743,    0.9410,    7.8769,    3.9533,   15.0705
    2.3557,   24.7612,    0.9167,    7.6897,    4.2948,   10.6726
    2.2880,   24.9785,    0.9450,    7.5090,    4.2148,   10.4488
    2.4929,   20.7341,    0.9138,    7.6225,    4.7930,   16.7177
    2.2732,   23.8574,    0.9302,    7.6030,    4.3670,   11.6902
    2.1477,   25.1609,    0.9354,    8.3073,    4.0650,   10.2665
    2.1701,   25.9526,    0.9579,    7.6825,    4.6785,    9.5308
    2.2852,   24.5399,    0.9312,    7.3737,    4.0497,   10.9086
    2.1277,   23.0795,    0.9551,    8.2584,    3.7482,   12.6946
    2.4339,   19.6513,    0.8710,    7.4436,    4.2644,   19.2985
    2.4075,   19.1114,    0.8652,    7.4800,    4.1471,   20.8285
    2.4533,   26.6853,    0.8884,    7.7668,    4.8358,    8.9212
    2.2807,   25.1698,    0.9292,    7.9022,    4.3714,   10.2578
    2.4978,   14.3154,    0.9448,    7.5102,    4.4127,   50.4783
    2.4653,   24.6309,    0.9064,    7.3793,    4.4137,   10.8106
    2.3227,   24.5192,    0.9000,    7.7087,    4.0644,   10.9310
    2.4239,   22.4270,    0.9202,    8.1977,    4.6797,   13.6463
    2.1404,   27.2280,    0.9384,    8.0852,    4.0785,    8.5084
    2.3051,   16.0165,    0.9574,    7.9287,    4.3833,   34.9402
    2.1864,   25.1102,    0.8990,    7.5047,    4.1332,   10.3167
    2.1398,   20.9566,    0.9230,    7.5812,    3.6746,   16.2548
    2.0971,   26.1003,    0.9506,    8.0807,    4.2137,    9.4026
    2.4107,   21.4213,    0.9339,    8.0568,    4.1124,   15.3509
    2.2193,   22.8795,    0.9420,    9.1685,    4.1552,   12.9749
    2.1658,   20.0779,    0.9505,    7.6699,    3.5463,   18.2114
    2.2150,   20.2470,    0.9255,    8.3082,    4.1166,   17.8068
    2.3769,   24.5932,    0.9513,    7.4046,    4.3089,   10.8510
    2.1618,   24.9037,    0.9334,    7.4099,    4.5384,   10.5250
    2.2535,   19.0607,    0.9445,    7.7771,    4.4051,   20.9821
    2.2772,   13.5767,    0.9358,    7.3558,    4.5587,   60.9113
    2.3181,   16.9371,    0.9544,    8.0493,    4.5367,   29.4584
    2.2964,   21.9378,    0.9374,    7.3963,    4.4736,   14.4360
    2.2484,   14.6661,    0.9023,    7.3704,    4.2770,   46.4804
    2.4276,   14.8258,    0.9164,    7.7087,    4.2992,   44.8229
    2.1872,   25.7863,    0.8921,    7.4470,    4.2484,    9.6782
    1.9950,   26.8402,    0.9479,    8.2376,    3.8198,    8.8002
    2.3715,   21.9118,    0.9238,    7.9777,    4.5873,   14.4800
    2.2668,   16.1933,    0.9094,    7.7714,    4.4087,   33.7683
    2.2964,   26.2704,    0.9386,    7.6112,    4.3378,    9.2585
    2.4696,   22.9986,    0.9096,    7.7979,    4.4929,   12.8068
    2.1597,   25.8111,    0.8953,    7.4674,    4.2836,    9.6560
    2.2652,   26.7343,    0.9516,    8.2527,    4.8947,    8.8827
    2.3017,   21.0643,    0.9127,    7.7042,    4.8877,   16.0379
    2.2834,   26.5929,    0.8984,    7.4951,    3.9641,    8.9946
    2.3863,   21.3879,    0.8878,    7.5480,    4.7882,   15.4132
    2.3984,   23.2408,    0.9117,    7.4415,    3.8836,   12.4754
    2.0780,   18.7473,    0.9390,    7.9744,    4.1346,   21.9714
    2.3293,   25.4150,    0.9448,    7.6368,    4.5618,   10.0209
    2.4284,   18.5369,    0.9166,    7.4474,    4.1171,   22.6777
    2.2883,   21.3841,    0.9464,    7.9230,    4.7685,   15.4204
    2.0997,   26.1402,    0.9139,    7.4888,    4.3321,    9.3685
    2.4005,   22.2835,    0.9589,    8.3391,    4.8409,   13.8707
    2.4632,   20.8244,    0.8845,    7.4050,    3.8679,   16.5275
    2.2462,   25.0117,    0.9119,    7.9392,    4.2763,   10.4152
    2.3601,   21.2945,    0.9525,    7.5679,    3.8566,   15.5895
    2.2619,   19.7310,    0.9284,    7.3850,    4.4193,   19.0878
    2.1459,   25.1478,    0.9309,    7.5154,    4.8281,   10.2794
    2.2188,   26.1590,    0.9308,    7.5302,    4.4491,    9.3525
    2.2881,   24.6262,    0.9160,    7.3646,    4.5222,   10.8156
    2.4932,   22.3753,    0.9132,    7.4627,    4.2733,   13.7265
    2.3246,   23.0842,    0.9551,    7.4891,    3.9038,   12.6882
    2.1618,   24.1100,    0.9491,    8.1472,    4.0835,   11.3910
    2.4449,   19.6956,    0.9444,    7.8112,    4.8042,   19.1810
    2.3214,   20.3428,    0.9336,    7.8590,    4.3653,   17.5839
    2.3390,   16.4009,    0.9541,    7.9803,    4.6234,   32.4701
